City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,burang,30.25,81.1667,263.3,83,35,2.25,CN,1706983591
117,korla,41.7597,86.1469,267.11,84,13,2.92,CN,1706983592
118,nili,33.7218,66.1302,267.55,62,20,1.91,AF,1706983592
119,la ronge,55.1001,-105.2842,274.29,86,100,3.6,CA,1706983394
120,saint-pierre,-21.3393,55.4781,297.97,73,0,6.17,RE,1706983463
121,nuuk,64.1835,-51.7216,261.49,56,40,5.66,GL,1706983391
122,plymstock,50.36,-4.0905,284.64,98,99,2.24,GB,1706983596
123,hermanus,-34.4187,19.2345,298.6,70,88,5.41,ZA,1706983306
124,lebu,-37.6167,-73.65,290.63,67,3,10.31,CL,1706983384
125,kalmunai,7.4167,81.8167,298.54,84,60,2.82,LK,1706983598
126,chegdomyn,51.1167,133.0167,241.67,100,83,0.77,RU,1706983599
127,bayanhongor,46.7167,100.1167,257.94,97,100,0.83,MN,1706983600
128,betio village,1.358,172.9211,302.17,76,100,7.1,KI,1706983600
129,charles city,43.0664,-92.6724,274.37,100,100,5.14,US,1706983601
130,amga,60.8953,131.9608,240.89,100,100,0.48,RU,1706983602
131,borogontsy,62.6683,131.1683,231.08,100,63,1.3,RU,1706983602
132,colonia,50.9333,6.95,284.16,89,75,6.69,DE,1706983391
133,fort st. john,56.2499,-120.8529,267.25,40,1,0.56,CA,1706983603
134,puerto cabezas,14.0351,-83.3888,301.13,83,20,2.06,NI,1706983582
135,tabas,33.5959,56.9244,279.85,47,33,0.86,IR,1706983605
136,kone,-21.0595,164.8658,298.99,91,98,2.53,NC,1706983606
137,vadso,70.0744,29.7487,270.24,86,100,8.23,NO,1706983362
138,praia,14.9215,-23.5087,301.45,42,57,6.69,CV,1706983607
139,wailua homesteads,22.0669,-159.378,293.01,68,12,3.13,US,1706983262
140,longyearbyen,78.2186,15.6401,262.06,79,0,6.69,SJ,1706983447
141,tazovsky,67.4667,78.7,258.72,93,100,2.98,RU,1706983398
142,punta arenas,-53.15,-70.9167,285.21,58,75,8.75,CL,1706983193
143,constantia,44.1833,28.65,276.53,73,48,5.22,RO,1706983305
144,barra de santo antonio,-9.4047,-35.5072,304.75,66,65,4.6,BR,1706983612
145,stanley,54.868,-1.6985,280.16,77,20,8.23,GB,1706983613
146,milford haven,51.7128,-5.0341,283.77,100,95,8.26,GB,1706983614
147,ca mau,9.1769,105.15,295.78,91,15,1.94,VN,1706983614
148,petropavlovsk-kamchatsky,53.0452,158.6483,253.48,85,0,4.0,RU,1706983323
149,papatowai,-46.5619,169.4708,282.28,71,88,4.11,NZ,1706983616
150,mbandaka,0.0487,18.2603,300.02,65,90,0.76,CD,1706983617
151,bojonegoro,-7.1502,111.8817,297.73,93,100,1.55,ID,1706983617
152,karratha,-20.7377,116.8463,300.23,75,44,9.24,AU,1706983299
153,chibougamau,49.9168,-74.3659,268.56,71,86,3.1,CA,1706983619
154,tangalle,6.024,80.7911,297.45,88,61,3.23,LK,1706983438
155,'ali sabieh,11.1558,42.7125,297.22,86,58,5.58,DJ,1706983620
156,zabaykal'sk,49.6333,117.3167,244.57,96,7,1.66,RU,1706983620
157,nuku'alofa,-21.1333,-175.2,299.34,94,75,0.51,TO,1706983621
158,egilsstadir,65.2653,-14.3948,266.11,68,16,3.99,IS,1706983622
159,cidreira,-30.1811,-50.2056,299.74,70,0,6.48,BR,1706983622
